,评论
137,97.5%是什么？是家长听话率，是按照学校要求填表的概率，对满意度的统计毫无意义。想得到真实满意率必须绕过学校，到街上发问卷，校门口都不行。或者在网上开贴评论，都用不着匿名，这样结果虽然肯定偏差评，至少得得到大家真实的反对意见。咱干实事要的就是差评，知道哪有问题才能去改。只爱听好评那叫什么？我只知道专门说这个的叫阿谀奉承、曲意奉迎、溜须拍马，听的人那就不知道了。动不动就摊派填表格，这种官僚主义、形式主义作风真得改改。上面有什么要求了，会议一开，文件一发，过个三月五月，发表格，层层摊派，明里暗里告诉你该有什么结果，表格收上来基本全部完成，大家面子都好看，皆大欢喜，出了问题也是个别基层不作为。除了给基层添堵，最后啥也没干成。
138,我忽然恍然大悟~网络图片，侵删原来前几天我们学校组织班主任让他们每个人找20个左右的人填写调查问卷，当时一个班主任找到我，让我帮着填一下。当时我正好有事在忙，那个老师就说：你把手机拿来，我自己填一下。后来她扫码之后，拿出几张答案来开始填。当时我很疑惑：这填的是什么呀？班主任说：一个调查问卷，学校让填的。每个班主任都有一定的名额。我问：为什么不找家长填呢？家长群里那么多人，找20个不更方便吗？班主任说：学校说了，最好不要让家长填。因为有的不认识字的家长可能瞎写一通。而且有的家长填一个空就问一个问题，更麻烦，还不如直接自己填了，反正学校都把怎么填的模板都给了。网络图片，侵删
139,现在看太早，至少现在的数据不能说明什么。现在的看法趋于两极化，家长和学生一方认为满意，极大地缓解了教育焦虑。老师一方表示担忧，不管是文科还是理科，最后还是要拿成绩说话的，考试中间熟练度的要求并不低。等今年中高考还有各年级期末考试结束后再看吧
140,之前有一个讲国际政治的笑话是这样子说的小国和小国矛盾，联合国调解，矛盾没有了小国和大国矛盾，联合国调解，小国没有了大国和大国矛盾，联合国调解，联合国没有了新学期减负97.5%满意，如果是真的，那是好事如果不是，那这个数据也是一种别样的体现没怎么接触真假，只能以自己上学期间的自愿补课，上班期间的自愿加班类比，以及被发与的调查问卷的填写过程为类比。大盈若盅，其用不穷。旧的问题现象可以解决，但是如果缺口在那，便会有新的问题填充。杯子里的水可以被净空，但是凹陷的杯子在就依旧会填满。差异的只是填满的事物是什么。话说这个新闻出来，会让什么没有了？
141,一小学生在人行道玩耍，不慎落入道旁河中，高呼救命！两领导闻之，视若不见，仍边走边谈笑如故。小学生情急生智，遂高呼“双减真不是好政策！”两领导闻之大惊，急跳入河中，将小学生拖上岸来留校查看。
142,我是一个校内老师，中秋领导严令禁止留任何形式的作业，我们都没有留，孩子们加了很多课外课很好，说实话我很喜欢这种学习氛围因为我当年就是个鸡娃可是我发现他们有很多不好的点。首先四年级的孩子要体测我让他们量体重自己换算成公斤有一大半的孩子不会➗2，一个班五十个人有五个左右言语表达能力严重缺陷，没有团体意识，没有当初那种尊师重道的习惯，甚至他们知道你没法处罚他，可以不写作业，不听话，上课大声说话屡教不改，而我们是个公立学校除了批评教育以外没有任何办法，我不在乎他们学的好不好哪怕有个好的童年也是好的，我不认为每天打闹不分上下课的打闹就是一个好的童年
143,天啦，我居然还没怎么有感觉，97.5%的人已经感受到了。我算是明白了小学到大学的课堂上，我为什么不敢看老师，怕被提问嘛。我，肯定是感觉系统有问题，至少比97.5%的人要差多了。不说了，我要面壁思过去了。呜呜
144,为什么只说结论啊？是怕说了调查过程之后被知乎上的统计学本科生摁地上喷吗？
145,冷知识：每年春晚的满意率比起这个可不遑多让啊。
146,每次上面来我们学校调查，学校都会提前发一份标准答案。真不知道来干啥的。
147,让学校叫家长填这种东西这不是就跟上学的时候填自愿补课一样嘛有几个敢说不好歹是部级，麻烦做事情不要跟中学校长一个水平好嘛？
148,只看到一群人在阴阳怪气，却列不出到底不好在哪里，反正作为普通人，我是想不出不支持双减政策的理由。
149,笑死，一帮人一边自己作假，一边把调查有水分的锅扣在政府头上。=====另外，给大家推荐一个比较模糊的测算统计数字是否含有巨大水分的方法。首先，选择一个或多个（最好是多个）你感到满意的中国政府政策（不要告诉我从出生到现在你没有满意过任何一个政府决策）。在内心给自己打个分数，比如你在网上看到了100个与这个决策有关的话题，你会点进去并且发布“我很喜欢这个政策”的话题数量有多少。假设这个概率是X%（即你看到100个相关话题，但是只有X个你会点进去并且说“我喜欢这个政策”）同理，选择一个活或多个你感到不满意的政策，在内心打分：我会点进去骂的概率有多少。假设这个概率是Y%（即你看到100个相关话题，但是只有Y个你会点进去并且说“我讨厌这个政策”）然后随便挑一个你想测试的话题。比如这个问题。得到以下数字：官方宣称的支持率（S%）回答中表示支持的数量A回答中表示反对的数量B计算得出的支持率Q%=（A➗X%）➗（A➗X%+B➗Y%）比较Q%和S%
150,我只看到一帮人群魔乱舞，他们只是想输出情绪，又何尝想认真反映问题，提出方法。该统计是通过中小学家校渠道进行的。确保了调查对象和实际回答对象的完美吻合。你看，像一帮不是家长的人知都不会知道有这个调查。第二，调查结论主语和调查对象是符合的，没有随意推演。第三，样本代表性，我不认为现在有比通过义务教育系统从上而下一级级行政命令通知到的家长更能代表中国家长这个群体的存在了。第四不建议把家长和教培从业者一起调查统计，这样统计出来的结果没有任何意义。可以另出调查，但是也只会是调查调整后就业情况和薪资水平，而且很难像调查家长一样确保实际调查对象符合预期。很多学校下发标准答案，显而易见的逻辑是，学校领导担心这份调查问卷的结果会成为学校执行双减政策后续配套措施好坏的判断依据，校领导为了职位就这样做了。数据造假不会是官方的本意，如果数据不好大不了就不公布了，后续继续调整，这又有啥问题，你能说啥，又没有相关规定。请大家把苗头对准。让你们填标准答案的校领导而不是对着调查在这虚空发泄。你们敢发答案截图，为什么不说具体学校名字呢。家长不敢举报，可以理解，但是可以跨市跨省交叉互相举报啊。同时举报建议直接省级起步，并要求保密。
151,​关于双减，我们也可以从“局外人”的视角观察一下。这里推荐一部出品于2020年的电影，制片方为德国JHF电影厂及德国电视二台（ZDF），导演为LolaJiaLiu。起调低沉：在当今中国，能上重点大学才算人生赢家但前提是要先上重点中学可如果不从小学努力，就没法上重点中学，就已经输了导演选取了中国一亿在校小学生中的两位，他们都就读于重庆市某重点小学。男孩小刘是早产儿，有先天性眼疾，但智商颇高。小刘母亲学国画出身，但毕业后从事视觉传达的工作。生了小刘后，她把精力都投入到“鸡娃”上，“放弃了对自己本专业的追求”。小刘父亲是个把兴趣爱好转换为谋生手段的渔具店主。在母亲的主导下，小刘除了参加学校的足球训练外，课余参加钢琴课、机器人课、各学科类网课以及不同的竞赛。花费不菲，经济压力很大。除了日常辅导小刘课内外功课外，小刘妈妈还是学校的“热心家长”，协助制作板报。女孩小邓不但文化课成绩好，还是学校足球队及辩论队成员。因为小邓爸爸常年不在家，所以都是妈妈和姥姥在照顾一切。两位小朋友及其家庭成员的故事，就此展开...通过这部片子，导演试图探讨以下几个问题：·中国学生能否承受各方压力，并顶住一个接一个的新挑战？·在持续高压下，能否发展出孩子们自己的想法？（而不是外界灌输的）·剧场效应下，学校和家长该怎么做？如果他们替下一代做的决定是错误的，后果谁来承担？·这些举全家和全校之力打造的“小超人们”，到成家立业时，能否“打败”那些在成长中较少受到外界干预的欧洲同龄人？亦或是一到“独立思考”的问题上就败下阵来？影片共90分钟，全程汉语普通话+重庆方言，配德语字幕。强烈推荐到ZDF官网观看，网址为：https://www.zdf.de/filme/das-kleine-fernsehspiel/gluecklich-bin-ich-wenn-du-schlaefst-100.html由于版权及播放地限制，仅能在德语区国家打开。峥哥混剪了两个精彩片段，请大家尝鲜：https://www.zhihu.com/video/1435525618973126656我本人最大的观后感就是心有余悸：幸好出台了“双减”。算是国家对本片最大的回应！
152,不支持匿名啊那没事了家长觉得()我是学生总之我很害怕()
153,首先声明我很爱国其次，咱们什么时候能不搞这些形式主义的东西？你就减少小孩的学习时间，根源上的问题解决了吗？现在的大部分学校都只是教学而不是教育，这也和现在的社会有关系。教育者，养成人格之事业也。使仅仅灌注知识、练习技能之作用，而不贯之以理想，则是机械之教育，非所以施于人类也。——蔡元培平时则放荡冶游，考试则熟读讲义，不问学问之有无，惟争分数之多寡；试验既终，书籍束之高阁，毫不过问，敷衍三四年，潦草塞责，文凭到手，即可借此活动于社会，岂非与求学初衷大相背驰乎？光阴虚度，学问毫无，是自误也。——蔡元培这两段话很适合现在的社会，前段时间刚看了觉醒年代，那个年代上学的人都是自己想学习想做学问，而不是被人逼着把知识塞到脑子里。现在的社会都靠学历，不管你想不想学会不会你都必须学。小的时候语文作业有阅读理解，就是给你篇文章然后问你个问题，比如这篇文章的中心思想是什么？所有人必须答案都是一样的，所有人看到各式各样的文章和问题，都必须有同样的思想。我始终搞不明白这有什么意义，这到底是在传授知识还是要孩子们抑制自己的思想？现代社会以学历为敲门砖，没有学历的人饱受歧视，卖力气干活的人得不到尊重。不知道从什么时候开始，在工厂上班变成了受人歧视的事，工厂成了压迫人们的地方。如果不学习就只能被资产阶级剥削，没有知识连住都只能将就。就像战争的时候人们没办法只能学会使用武器，现在为了生存我们被迫学习，这从来都不是开明智的方法。最近感觉形式主义的政策越来越多了，完全是治标不治本。到底什么时候才能搞点，我们老百姓关注的问题？比如工作问题，现在的制度完全治标不治本，物价上涨工资不涨禁止加班有什么用，难道带着孩子喝西北风去？住房问题，现在不仅买房贵租房也贵，光禁止群租房有什么用？群租房床位每个月两百还包水电，单间每个月八百还不包水电，你自己说人家没钱住哪个？设施问题，别的城市我不知道，但是我们这边盲道搞的什么玩意，不是停着电瓶车就是砖头坏了，有的修路直接把盲道隔起来，就非得让盲人摔两下呗？交通问题，偶尔雇点人找人拿个小旗子搁路边站会，找俩交警罚个几十块钱就完了？多少次那个闯红灯的电瓶车差点给我撞咯，照我看闯红灯就罚五百，以后就没人闯红灯了。养狗问题，之前我们这边没评上文明城市，然后地方政府就搞了个政策，每家每户只许养一条狗，有狗证没用必须办新的电子狗证，必须要有房才能养狗，流浪狗捉走甚至还有的直接当街打死，每家每户敲门没收狗然后集中把狗弄死。我爱我的国家但是对某些政策和数据真的是除了呵呵不知道还能说什么看到底下的评论就先来讲讲教育吧，怎么说呢就比如说职校吧，应该是培养职业技术人才的地方，别的地方我不知道但我们这边的职校都很乱。首先我认为应该将私立的学校逐渐转换为公立，包括那些职业技术学校，然后规范化管理。其次各项平衡发展，不能提到学习就是语数外物化生政史理，要让孩子们德智体美劳全面发展，不能只发展个智。比如更加注意思想品德的教育，以及让孩子们有更多时间可以运动，培养孩子的审美观，组织更多能让孩子提起兴趣的劳动活动。如果按现在的学历制度，我认为应该让这些德体美劳占的比例更高。教育之路任重而道远，我仍然觉得我们国家的精神，应该从教育上得到更好的体现，而不是单纯的只有文化课。
154,有没有真的不满意的家长出来说说为什么？而不是一群烂梗小鬼的“感恩”？
155,讲个苏联故事：戈尔巴乔夫为自己一项正测发起投票时，发现得票率居然超过了80%，他认为太离谱了，赤裸裸侮辱苏联民众智商，下令重选。有的人还是要脸的。
156,因为周末不能补习，现在初中生周一到周四的作息是：六点整放学（晚托也是几乎同时出来的新规定），用瞬间转移大法，在六点整赶到补习班。家长负责买好快餐，在路上塞给孩子。补习班课上到八点半（也是新规定）。九点到家开始做作业。一般一点钟做完。第二天早八点升旗，做操。也就六个小时睡眠。----这么“减负”，居然还有2.5%家长敢不满意？
157,居然有2.5%不满意，我觉得可能是他们表达不准确。他们想说的是：不，（我很）满意_(:з」∠)_
158,课外辅导班，校外补习班，还有同龄的鸡娃竞争压力在短短几个礼拜全部成为历史，化腐朽为神奇的神秘东方力量重现人间，距离他上次出现快过去了一甲子。
159,从早晚6：40到教室上早读/晚修，调整到早晚6：30。这负减了个负数
160,不减不满意，减了也不满意，不知道各位要怎么样才会满意。
161,学而不思则罔，思而不学则殆。任何从东头跑西头的二极管政策，都不可能是解决问题的好政策。
162,真的看不惯很多人各种喷老师，老师去的比你早，下班比你晚，义务教育学校多收你一分钱了吗？老师也是有家庭的，做到这样你还要抱怨！一帮圣母婊真特么难伺候！如果你觉得学校教育不行，老师不好，没问题，这边建议您带着孩子退学、转学，或者作为高知，您自己教！
163,根本矛盾就是社会资源分配问题。高考、中考不是培养后的考核制度，而是修罗场后的选拔制度。我们高三班主任跟我们说了一句话，始终难以忘记。“有人坐轿子那必然就有人要去抬轿子”有些家长也不用埋怨学校，埋怨老师。现在的社会，一个孩子的教育，受地区环境，家长素质，两方面影响。好地区经济好，教师收入高，竞争导致这里的教师都很优秀。差的地区，政府欠一屁股债，教师正常工资都还要被挪为他用，没人愿意来，就放低招聘标准，最后此地区的综合教育可想而知。同样的，高知家庭，资本家孩子，双体制家庭，肯定比爹文盲妈小学毕业的家庭教育整体好的多。你有钱北京买房投资人身份落户，上北京小学，还需要担心孩子教育？落后地区家长和当地学校都是受压迫的人没必要互相伤害，贫富差距又不在你俩之间。
164,所以一切政策都和孩子无关，也和教育无关
165,这题我会，毕竟有了答案的东西，谁还不能考个满分呢。
166,我们国家的民意调查就没低过0.95，至于调查谁了反正我不知道
167,从这学期开始实施双减，我感觉比以前更焦虑，以前只是说下班回家还要盯着孩子做作业、改作业累。问题现在是老师也不敢布置多的作业，怕不好交差，然后好多作业是口头布置的，问题就出来了，上学期这些作业正常9点之前完成了，现在9点了那些口头布置的作业还完成不了，就想拖着明天再写，因为老师没做强制要求了。这双减政策下自律的孩子是没受多少影响的，不自律的孩子咋办，到时候连高中都考不上，现在普高的升学率50%左右。孩子自身根本意识不到这些问题，只是感觉明明老师没说一定要做，为什么我还要完成，抱着的抵触情绪很大，一到考试就所有的问题就暴露出来。娃不焦虑，焦虑的还是家长。
168,啧，当年甩手掌柜老师当惯了，上课随便讲，下课辅导班，作业家长改，卫生家长做，当年为何不见老师们出来喊这样是不对的？
169,因为不满意是学生放学越来越晚，而那一个小时的延长时间并不会用来给学生做家庭作业，都是各科老师在讲课，中学的话学生回家至少7点以后，那可以想见作业也会做的越来越晚。加大了平时学生的负担。
170,我觉得已经可以宣告失败了，开始延迟的时候还好，学生在学校就可以把家庭作业做完，后来延迟放学老师都把延迟的时间用来讲课了，学生回家后再做作业，睡的比之前更晚了
171,这个标题本身就是个笑话。我不信97.5%的家庭都瞎了
172,教务部面临大量辅导机构反抗和无知家长觉得少辅导一节课就落后别的孩子了的双重压力，为避免内卷之下，越卷越狠，最后卷死，需要数据为政策做支撑，让双减成为民意，彻底推行下去，压垮辅导机构和无知家长，解放学生，解决教育内卷。
173,我觉得双减后，家长会更焦虑，培训机构没了，全都在学校学习，你永远不知道别人家的孩子是不是在回到家后还在努力学习，成绩好的娃怕被赶超，成绩差的怕被分流，中考现在比高考更残酷。这就自然形成了内卷。这个双减调查没有任何意义，答案都给你一起发了。不及格的答卷影响的不是自己，是自己的娃。
174,可喜可贺，困扰了全国上下几十年的减负难题，用了不到一个月时间彻底解决了！真不知道以前那些做减负工作的人是干什么吃的，咔嚓一刀的问题，用得着几十年也找不到平衡点么~不说了，我得抓紧时间复习去了，一会还得给孩子辅导功课呢。人家隔壁老王家的孩子请得起家教，咱请不起，只能自力更生¯\_(ツ)_/¯
175,大禹治水的理咋不明白呢？
176,学校发的调查问卷吧，那种东西老师盯着你填，你敢写不满意？亲身经历告诉我，老师甚至会哭闹！
177,水分有多大？现在是全国都知道减负和校内课后服务了。个人感觉本质上初衷是好的，但是执行到下边全变味了。城里课后服务减轻了双职工家庭看护孩子不便的问题。但是！！！农村没有这个顾虑啊！从课后服务开始，我身边的家长和老师（乡村学校）就对这个课后服务颇有怨言，当然有怨言的老师并不多，毕竟是多一份收入。但是家长和学生大多都是被迫接受这个课后服务。首先，农村孩子补课的也并不多，本来就没想补课的，但是学校发了这个通知，明着说是自愿，其实半强迫，除非是身体和心里真有问题的学生可以不参加。为什么说是半强迫？因为农村学校学生大多数都是校车通勤的，有的学校学生数比较多，却只有一两辆校车，那就要有一些学生等第二趟车。正常一趟就得一个小时多，所以即使3点多放学到家也挺晚了，尤其冬天。课后服务变相延时回家，过去六七点钟孩子在家吃完饭写写作业玩一会就睡了，现在是六点多还在校车上，七点能到家，七点半吃完晚餐写作业。这……到底减负还是增负？？再说学校，规定是课后服务不讲新课。然而，这里没有不讲新课的，就默认是，你不来参加课后服务，你就容易听不到新课内容！最后，开学说课后服务按天收费，不到半个月按半个月计费？？超半个月按一个月计费？？好的……接受。但是在疫情肆起的当下，这边乡村9－11月底总共能线下上课一个多月，但是实打实收了三个月的课后服务费（一点没含糊）。家长有怨言，不敢问！也不知道问谁，因为班主任也不理你，还可能对你家小孩带有色眼镜………所以，看我附近的是学生没减负，家长凭空增负。不知道全国其他地区什么样。
178,我妹妹是某市重点高中双减政策下来确实是不让补课了，私自补课的学校要罚款。然后每次学校想要补课的时候，就提前去交罚款。
179,双减，减负减去负数，大家都知道结果。我同事一个月为孩子报班花费5600，但双减了，喜欢的老师不开课了，她们偷偷问小班还带吗？回复说带，但原先120一节1小时，现在300一小时，因为人少了。问她上吗？她说，上，怎么都要上。你看有钱的不在乎找不到老师，没钱的现在连本来可以上的辅导班，本来可以补的课都补不了了。长此以往，后果可想而知。进厂的进厂，吃肉的吃肉。
180,我倒是没看到哪有减负，坐标南方三线小城，我已经不是义务教育了，但我妹妹是的，不敢相信一年级就已经这样累了，作业五花八门（真不知道是好事还是坏事），反正我晚上上学回来23:00，我妈还告诉我小声点妹妹刚刚写完作业不久睡着了，我看看她的钉钉班群，作业着实离谱，跳绳，剪纸，算数，讲故事，唱歌背书，不经让我回想我的一年级，那不就是睡觉加玩吗。。，反正班群里还有股内卷的风，我妹妹因为没评上什么优秀作品主动要求重构一张画，我表示很惊讶，这才一年级啊。
181,啊这……教育部知道这些问卷是谁填的吗？当代女大学生被迫当妈=_=宿舍里有个同学家长是老师，要求填20份调查问卷，微信QQ分别扫码就是两份，我们宿舍每人两份，她父母再每人两份就够了，这种问卷根本到不了家长手里而且就算让家长填，也有标准答案，人人都要截图，真的毫无意义
182,让子弹飞个1年，再看看生育率呗
183,我们班是家委会家长填，都是私聊，你发聊天记录就暴露了，标准答案都发出来了，但是我们每天写到12点。双减减的是幼儿园。数学周周测，英语天天默，上课抽背玩的就是心跳。生地每周默写一次，默都要两节课。7点到校早读，一天八节课全是正课。晚上六点放学还有1个小时的体育训练。
184,一周有几节体育课？答案：三节一天睡几个小时？答案：八个小时几点睡觉？答案：十点之前文化课老师会占用音体美课程吗？答案：不会你们有校外补习吗？答案：没有考试排名吗？答案：不会学校会乱收费吗？答案：不会当所有问题都有标准答案时，就可悲到极点。
185,让我想起了多年前记者在火车上挨个问买到票了没还不让匿名呵呵！
186,"汉弗莱：首相为什么会这么想（新的兵役政策能赢选票）？伯纳：党派做了民意调查，似乎所有选民都支持恢复兵役汉弗莱：再做个调查，显示他们反对兵役伯纳：他们不能又支持又反对汉弗莱：当然能，伯纳，你被调查过吗？一位美丽的小姐来到你面前，你想给她留个好印象，她问：伍利先生，您担心无业青年增多吗？伯纳：是的汉弗莱：您担心青少年犯罪率上升吗？伯纳：是的汉弗莱：您觉得学校里缺少纪律吗？伯纳：是的汉弗莱：您觉得年轻人欢迎权威和领导吗？伯纳：是的汉弗莱：他们喜欢挑战吗？伯纳：是的汉弗莱：您支持恢复兵役吗？伯纳：我想应该是汉弗莱：到底是不是？伯纳：是汉弗莱：伯纳，你说了前面那些，就不可能再说不是，他们根本不提前面五问，只发表最后一个伯纳：他们真这样吗？汉弗莱：有声誉的调查者不会，但他们人不多，或者，这位小姐也能得到相反的结果伯纳：怎么讲？汉弗莱：伍利先生，您担心战争吗？伯纳：是的汉弗莱：您担心军备竞赛吗？伯纳：是的汉弗莱：您觉得年轻人持枪杀人是否危险？伯纳：是的汉弗莱：您不同意强迫人们拿起武器吗？伯纳：是的汉弗莱：您反对恢复兵役吗？伯纳：是的《YES,PRIMEMINISTER》"
187,我不看好双减落地，因为中产家庭谁也不愿意下一代阶级下落，就说哪个本科的家长愿意孩子去读中专，确实现在的中专跟大学比就是垃圾。高学历家长难接受孩子变成低学历，自己心理的压力和社会的压力，足够趋势他掏钱去非法补课。这个社会焦虑确实存在，不可能你把教育机构打掉了，这些家长就能不去焦虑，有焦虑就是会有人去犯规，最后结果还是有人偷偷搞补课，价格还越来越贵。咱们现在出台的政策韩国当年也用过，而且咱们没想到的他们也想到了。打击培训机构，优秀教师在学区轮换，甚至取消了中考。最后这帮家长让老师装成保洁来给孩子高价补课，你说怎么打击。真别光说我国政府执行力强，当时韩国是朴正熙独裁时代，人家执行力还差吗？想真正解决这个问题，除非打掉家长的焦虑。但这个课题已经大大超过了双减的任务难度。要想给家长真减负起码得做到这些点：让国家垄断补课，低价给想奋斗的孩子加课，不爱学习的可以不学，想奋斗的孩子家长不用掏高价就能学。国家把中专办好，起码让这些学校校风改变，不说培养出人才吧，别学生跟社会人一样。最难的就是把阶级差价拉小，工人和白领工资待遇不要差那么大。欧洲人没那么鸡娃，其实就是这个原因，这些国家社会高福利，下限是有保障的。人家可能也觉得孩子不是那个料，快乐长大就行了，反正工人工资也足够生活。这么一算，这个事的难度真是大的没边了。我认为没有整个社会体系的改变，双减是根本落不了地的。
188,反正我不知道别的地方，我这边是个县，教育局长现在一周只让老师学生休一天，双休变单休，不讲课让学生自己做作业看书，好多老师骂他神经病
189,只要升学压力还在，“减负”就难以落到实处。听闻校外“辅导”也在如野草一样“潜滋暗长”。
190,其实真正需要减负的是家长们，而不是学生，并不期望学校对学生减负，而是期望学校能够承担应尽的教育义务，而不是什么事儿都推给家长，什么作业都回家做。没有作业就好了吗？最终坑害的是还是那一波学生和日常无力管孩子的家长们。
191,我觉得吧，双减今年执行，家长们满不满意至少要一年后再做评判。因为一年之后中考，届时一半的孩子上不了高中，教育部可以再问问有多少家长会满意。
192,就像我家的春晚都开着没有人看但春晚的满意率出奇高？
193,舆论的阵地你不去占领，就有别人会占领。只要大家看不见，他就不存在。沉默的螺旋一件事情的底层基本逻辑不变化，事实就不会发生根本性改变。
194,最没有公信力度的就是相关部门发的有关调查，不论是小学中学大学研究生，所有的试卷说是匿名但是答案都是写好的，你哪怕有一点不满意不照着满分去填，就有说不完的麻烦，各有关部门精准定位直接找到你。
195,反正我孩子3年级，我不太满意
196,二三十年的教育问题，短短二十几天解决了，不好吗？
197,想起来一个苏联笑话一个苏联人准备移民去美国，上级知道了很不高兴。于是组织了一个委员会给他做思想工作。领导说：“同志，你为什么要去美国？是因为不满意没有好吃的？”“不是。”“是因为不满意住房条件太差？”“不是。”“是因为不满意工资水准太低？”“不是。”“那我们不明白了，你没有什么不满意的，为什么要去美国？”“因为在美国，我可以有不满意。”
198,你可以邀请在孟回国的问题下高潮的那些人回答
199,去暗访调查一下，随便抓一个学生都不会说满意
200,我觉得造成这种情况完全是工作人员不认真、不负责、不仔细、不思考。我能体谅教育部诸位工作人员工作任务多、压力大、时间紧、人手少。但是这几个月以来雷声非常大的各种政策、措施、规定不就是为了让家长全方位满意？为此教育部领导下了血本，搞出大动作跨部门发动、联合诸多兄弟单位一起行动，比如管房价的、管影视传媒娱乐的、管扫黄打非的、管上市公司的等等。教育局领导做了这么多事，就想要一张满意的答卷。教育局的工作人员们，你们从起草问卷到发放问卷到回收问卷到统计数据，这么多人，贴心的为全中国文化水平相差巨大的众多父母操碎了心，连标准答案都发放了，选择了开卷考试的形式，细致的足够照顾到偏远贫困地区的文盲不识字父母。做了这么多，结果呢？没有给领导一张满意的答卷。你们但凡多向此次配合你们行动几个月的兄弟单位虚心学习一下，都不会出现这样的情况。你看看这些兄弟单位，哪一个不查分身证的？你们但凡学会兄弟单位这一星半点，在答卷里多加一道题，要求上传身份证正反面照片或者填写身份证号，领导就能得到一份100%满意的答卷。你问为什么无记名答卷要填身份证信息？嗨，这不是怕有些人一人答多份恶意刷高/刷低满意度嘛，放心，只是筛选无效答卷的，绝不会泄露隐私。
201,怎么没问我爸妈满不满意难道我爸妈不是家长了吗天啊我是不是不存在
202,家长收到的问卷是对学校满意不满意...好家伙
203,居然还有2.5%的人不满意？
204,那剩下的2.5%为什么不满意呢？
205,这不是在火车上统计有多少买到票的？根据我身边情况，九成的家长因为双减怨声载道，天天为孩子发愁。请一对一家教上门比报辅导班贵多了
206,不好说。我在某养老小县城的小机构干活，我感觉在这地方义务教育阶段家长的满意度应该是挺高的。因为双减出来与家长谈转周中或者退费这事，我都顺便还问过他们学校那边的调查。无论那边意愿是不是退费，大部分家长都是第一反应不报给学校补习情况的。甚至我们找家长要姓名身份证补合同他们也生怕给学校知道拒绝提供（因为说了这是给备案的）。所以就算老师不手把手教怎么填调查，大家都心知肚明要怎么填才好的。不过话说回来，这边小县城大家也是挺佛系的，所谓的升学压力前途什么的家长和孩子都很少有想的。所以双减下来也确实挺多家长松一口气的，很多以前是孩子这科不行所以补这科，现在不给补了就算了以后看孩子自己造化的。反而对学校课后服务怨气比较大，价格比外边托管兴趣班还贵，老师暗示必须要在校会有任务发给孩子，挤在一起接送也麻烦。原本路窄学校又多，几家学校一起放学，接个小孩如长征。我有幸走过一段，200米走走停停二十分钟，脚都能给尾气烫熟。
207,我不知道样本哪里的大家有没有说真心话教培业内人士反馈:该补的一个没少学生反馈:学校的饭真的难吃
208,学生党表示非常不满意，但是投的满意
209,我猜那2.5既是家长，也是老师。没事很快就没有了因为都累死了
210,有个个人的观察体会，小学四年级以下家长普遍比较满意，五六年级有点分歧，初中没怎么见过说很满意的。还有一个个人的小疑惑，双减涉及家长，学生，教师三方，怎么没人调查学生是否满意？教师是否满意呢？咋回事？后面会不会调查呀？
211,不能匿名啊那没事了
212,我们学校让用作业平板，所有人都填是了，我能填否？
213,在车上听广播听到了这个问卷调查我其实还真的很好奇为什么这么着急啊急于证明啥么，比如说：我干的都是对的？我拥护者众多？决策都是合理的？这才一个月啊，一个影响力这么大的政策，这么急于证明啊？计划生育咋没见的你做问卷？下架迪迦奥特曼怎么没见你做问卷？刚刚搞完吴亦凡，就把我的很大，你忍一下拿过来学体制是个好东西我坚决拥护另：上次我听到的调查问卷是另一个版本，好像满意度没这么高，60？铁拳挥打够了也该停了，您到底在打谁啊？双减？把双的内容换成减中高考不就行了（求求知乎别再封回答了，我的回答，没有引战，没用触犯法律，没用挑起争执）
214,反正我是挺满意。家里老二上三年级，双减之后每天作业基本在学校就能做完了，回家坐练练英语听读就行。小学那点课程真没必要搞的太紧张。放学就是踢球。球场也是双减政策之后配套建的，全封闭，五人制，人造草坪，附近每个社区都有一个，差不多就是一公里半径范围内就能找到一个。对了，晚饭后还能玩玩VR或者塞尔达什么的。
215,说真的，减负又不是为了孩子减的，是为了家长为了劳动力减的负，想各种方法让你不要为了生孩子为难。你说你担心阶级下降，国家还没到共产主义呢，国际环境这么差先活下去再说吧。
216,一个前苏联的笑话来源：网络前苏联，有个人要移民美国，移民局人问他：“你对现在的国家不满意吗？”他答：“满意。”“你对这里的领导不满意吗？”他答：“满意。”“那你对这里的什么不满意？”他答：“都满意。”“既然都满意，为什么还要移民？”他答：“因为移民到美国，在那里可以说不满意。”这个问题下的回答不允许设置匿名……我是不是在冲泉水……
217,近日，教育部发布《关于坚决查处变相违规开展学科类校外培训问题的通知》，将坚決查处学科类培训转入“地下”、换个“马甲”逃避监管等隐形变异问题，其中就包括“直播变录播”、“一对一家教”等形式。从教育部展现出来的架势看，是要对校外培训斩草除根。但这种做法最终成效如何还有待检验。国家强调“双减”，规范义务教育阶段的学科类培训，井非要“一刀切”关停学科类培训，而是要让学科类培训回归到其应该有的地位和功能上。畸形发展的教培行业当然是需要规范的；但如果教育部要与所有的校外培训“较劲”，最终结果肯定是“双输”。因为只要高考指挥棒还在那里，应试教育还在那里，教育体制和机制的各种毛病和问题就都在那里。如果这些根本问题不改革，只抓住教培一遍又一遍地搞整顿，势必制造更多的矛盾和怨言。要知道教育部的根本责任是发展中国的教育，而不是往“教培整顿部”方向发展。
218,没劲，现在知乎大部分人除了阴阳怪气还会干啥？事实依据在哪里？能拿出来吗？
